"","step","Context","Subject","T4_count","T4_percent"
"521",8,"Tone1","X6",1,0.142857142857143
"522",7,"Tone1","X6",5,0.714285714285714
"523",6,"Tone1","X6",7,1
"524",5,"Tone1","X6",7,1
"525",4,"Tone1","X6",7,1
"526",3,"Tone1","X6",7,1
"527",2,"Tone1","X6",7,1
"528",1,"Tone1","X6",7,1
"529",11,"Tone2","X6",0,0
"530",10,"Tone2","X6",0,0
"531",9,"Tone2","X6",0,0
"532",8,"Tone2","X6",0,0
"533",7,"Tone2","X6",3,0.428571428571429
"534",6,"Tone2","X6",2,0.285714285714286
"535",5,"Tone2","X6",5,0.714285714285714
"536",4,"Tone2","X6",5,0.714285714285714
"537",3,"Tone2","X6",7,1
"538",2,"Tone2","X6",7,1
"539",1,"Tone2","X6",7,1
"540",11,"Tone4","X6",0,0
"541",10,"Tone4","X6",1,0.142857142857143
"542",9,"Tone4","X6",6,0.857142857142857
"543",8,"Tone4","X6",6,0.857142857142857
"544",7,"Tone4","X6",7,1
"545",6,"Tone4","X6",7,1
"546",5,"Tone4","X6",7,1
"547",4,"Tone4","X6",7,1
"548",3,"Tone4","X6",7,1
"549",2,"Tone4","X6",7,1
"550",1,"Tone4","X6",7,1
"551",11,"Tone1","X1",0,0
"552",10,"Tone1","X1",0,0
"553",9,"Tone1","X1",0,0
"554",8,"Tone1","X1",0,0
"555",7,"Tone1","X1",1,0.142857142857143
"556",6,"Tone1","X1",3,0.428571428571429
"557",5,"Tone1","X1",7,1
"558",4,"Tone1","X1",5,0.714285714285714
"559",3,"Tone1","X1",7,1
"560",2,"Tone1","X1",7,1
"561",1,"Tone1","X1",7,1
"562",11,"Tone2","X1",0,0
"563",10,"Tone2","X1",0,0
"564",9,"Tone2","X1",0,0
"565",8,"Tone2","X1",0,0
"566",7,"Tone2","X1",0,0
"567",6,"Tone2","X1",0,0
"568",5,"Tone2","X1",0,0
"569",4,"Tone2","X1",0,0
"570",3,"Tone2","X1",2,0.285714285714286
"571",2,"Tone2","X1",3,0.428571428571429
"572",1,"Tone2","X1",3,0.428571428571429
